title,company,location,link,description,status,notes
"AI Data Infrastructure Engineer - Helix Team  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4345915006,,applied,Manually submitted through automated process
"AI Engineer, Data Quality - Helix Team  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4443218006,,applied,Manually submitted through automated process
"AI Engineer, Large Scale Model Evaluation - Helix Team  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4430424006,,applied,Manually submitted through automated process
"AI Engineer, Post-Training - Helix Team  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4443109006,,applied,Manually submitted through automated process
"AI Tooling Engineer - Helix Team  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4345940006,,applied,Manually submitted through automated process
"AI Tooling Frontend Engineer - Helix Team  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4443216006,,applied,Manually submitted through automated process
"AI Training Infrastructure Engineer - Helix Team  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4431092006,,applied,Manually submitted through automated process
"Behaviors Middleware Software Engineer - Helix Team  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4440830006,,applied,Manually submitted through automated process
"Humanoid Robot Operator Interface Engineer - Helix Team  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4031371006,,applied,Manually submitted through automated process
"Humanoid Robot Pilot (day shift) - Helix Team  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4369739006,,applied,Manually submitted through automated process
"Localization and Mapping Software Engineer - Helix Team  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4007374006,,applied,Manually submitted through automated process
"Perception / Computer Vision Software Engineer - Helix Team  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4007375006,,applied,Manually submitted through automated process
"Robot Behavior Coordination Engineer - Helix Team  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4007384006,,applied,Manually submitted through automated process
"Robot Manipulation Engineer - Helix Team  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4007386006,,applied,Manually submitted through automated process
"Robot Simulation Engineer - Helix Team  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4281093006,,applied,Manually submitted through automated process
